Txn 1 - Amount: ₹466.99, Status: NORMAL
Txn 2 - Amount: ₹2606.34, Status: NORMAL
Txn 3 - Amount: ₹1416.46, Status: NORMAL
Txn 4 - Amount: ₹410.37, Status: FRAUD
Txn 5 - Amount: ₹4900.36, Status: NORMAL
Txn 6 - Amount: ₹562.05, Status: NORMAL
Txn 7 - Amount: ₹365.23, Status: NORMAL
Txn 8 - Amount: ₹2661.46, Status: NORMAL
Txn 9 - Amount: ₹4233.80, Status: NORMAL
Txn 10 - Amount: ₹3124.50, Status: NORMAL
Txn 11 - Amount: ₹4749.50, Status: NORMAL
Txn 12 - Amount: ₹4066.38, Status: NORMAL
Txn 13 - Amount: ₹3631.34, Status: NORMAL
Txn 14 - Amount: ₹1368.81, Status: FRAUD
Txn 15 - Amount: ₹3856.85, Status: NORMAL
Txn 16 - Amount: ₹2888.75, Status: NORMAL
Txn 17 - Amount: ₹2348.62, Status: NORMAL
Txn 18 - Amount: ₹2858.18, Status: NORMAL
Txn 19 - Amount: ₹110.16, Status: NORMAL
Txn 20 - Amount: ₹64.08, Status: NORMAL
